value
arendal_arctic
arendal_temperature
arendal_zambezi_focus
cividis_cividis
cmocean_algae
cmocean_amp
cmocean_balance
cmocean_curl
cmocean_deep
cmocean_delta
cmocean_dense
cmocean_diff
cmocean_gray
cmocean_haline
cmocean_ice
cmocean_matter
cmocean_oxy
cmocean_phase
cmocean_rain
cmocean_solar
cmocean_speed
cmocean_tarn
cmocean_tempo
cmocean_thermal
cmocean_topo
cmocean_turbid
em_NZ_blue
esri_effects_park_boundary_1
esri_effects_park_gradation_1
esri_events_current_dir_3
esri_events_current_dir_4
esri_events_desertification_5
esri_events_dry_wet_4
esri_events_fire_active_1
esri_events_fire_active_2
esri_events_global_warming
esri_hillshade_illumination
esri_hypsometry_bath_bath_111
esri_hypsometry_bath_bath_112
esri_hypsometry_bath_bath_113
esri_hypsometry_bath_bath_114
esri_hypsometry_bath_bath_115
esri_hypsometry_planet_mars_1
esri_hypsometry_planet_mars_2
gery_seismic
gist_earth
gist_gray
gist_heat
gist_ncar
gist_rainbow
gist_stern
gmt_GMT_abyss
gmt_GMT_bathy
gmt_GMT_cool
gmt_GMT_copper
gmt_GMT_cubhelix
gmt_GMT_dem1
gmt_GMT_dem2
gmt_GMT_dem3
gmt_GMT_dem4
gmt_GMT_drywet
gmt_GMT_elevation
gmt_GMT_gebco
gmt_GMT_globe
gmt_GMT_haxby
gmt_GMT_hot
gmt_GMT_ibcso
gmt_GMT_jet
gmt_GMT_nighttime
gmt_GMT_no_green
gmt_GMT_ocean
gmt_GMT_panoply
gmt_GMT_polar
gmt_GMT_rainbow
gmt_GMT_red2green
gmt_GMT_relief
gmt_GMT_seafloor
gmt_GMT_sealand
gmt_GMT_seis
gmt_GMT_split
gmt_GMT_topo
gmt_GMT_wysiwyg
grass_aspect
grass_aspectcolr
grass_bcyr
grass_bgyr
grass_byg
grass_byr
grass_celsius
grass_differences
grass_elevation
grass_etopo2
grass_evi
grass_gdd
grass_gyr
grass_haxby
grass_ndvi
grass_precipitation_monthly
grass_precipitation
grass_rainbow
grass_ramp
grass_rstcurv
grass_ryb
grass_ryg
grass_sepia
grass_slope
grass_srtm
grass_terrain
grass_wave
h5_autumn
h5_bluered
h5_bone
h5_cool
h5_copper
h5_dkbluered
h5_green
h5_hot
h5_hsv
h5_jet
h5_pink
h5_spring
h5_summer
h5_winter
h5_yellow
heine_GTS2012_epochs
ibcso_ibcso_bath
ibcso_ibcso
imagej_001_fire
imagej_002_spectrum
imagej_003_ice
imagej_004_phase
imagej_16_colors
imagej_16_equal
imagej_20_colors
imagej_amber
imagej_auxctq
imagej_blue_orange
imagej_brain
imagej_cequal
imagej_cmy_yellow
imagej_cold
imagej_gem_256
imagej_gold
imagej_gyr_centre
imagej_heart
imagej_hue
imagej_icool
imagej_iman
imagej_neon_blue
imagej_neon_green
imagej_neon_magenta
imagej_neon_red
imagej_rgb_blue
imagej_rgb_green
imagej_rgb_red
imagej_royal
imagej_sepia
imagej_smart
imagej_topography
imagej_unionjack
jjg_cbcont_div_cbcBrBG
jjg_cbcont_div_cbcPiYG
jjg_cbcont_div_cbcPRGn
jjg_cbcont_div_cbcPuOr
jjg_cbcont_div_cbcRdBu
jjg_cbcont_div_cbcRdGy
jjg_cbcont_div_cbcRdYlBu
jjg_cbcont_div_cbcRdYlGn
jjg_cbcont_div_cbcSpectral
jjg_cbcont_seq_cbcBlues
jjg_cbcont_seq_cbcBuGn
jjg_cbcont_seq_cbcBuPu
jjg_cbcont_seq_cbcGnBu
jjg_cbcont_seq_cbcGreens
jjg_cbcont_seq_cbcGreys
jjg_cbcont_seq_cbcOranges
